zcta,population_2024,population_2024_moe,households_total,renter_households,renter_hh_share_pct,population_cagr_10yr_pct,population_2014_proxy,population_projection_2035,median_hh_income,median_renter_hh_income,pct_cost_burdened_30plus,pct_severely_cost_burdened_50plus,pct_under_5,under_5_count,under_5_density_per_sqmi,pct_dual_income_mc_hh,pct_bachelors_or_higher,foreign_born_pct,lep_pct,lep_speakers_5plus,top_language_1_name,top_language_1_speakers,top_language_2_name,top_language_2_speakers,top_language_3_name,top_language_3_speakers,top_language_4_name,top_language_4_speakers,top_language_5_name,top_language_5_speakers,pct_asian,pct_black,pct_hispanic,pct_white_nh,pct_other,pct_asian_2014,pct_black_2014,pct_hispanic_2014,pct_white_nh_2014,commute_min_seattle_cbd,commute_min_slu,commute_min_bellevue_cbd,commute_min_redmond_msft,commute_min_everett_boeing,commute_min_renton_boeing,moe_flags,acs_vintage
98058,41980,2076,15615,4186,26.81,0.83,38658,,111045,,46.03,20.4,6.63,2784,147.9,8.41,41.42,21.27,11.07,4338,Spanish,3101,Russian/Polish/Slavic,1360,Chinese (Mandarin/Cantonese),1233,Other Asian/Pacific Island,1114,Other Indo-European,807,16.42,7.94,13.46,52.21,9.97,,,,,61.3,63.2,54.6,58.5,106.5,33.3,,ACS5 2019-2023
98059,41639,2290,14642,3281,22.41,0.83,38344,,134336,,44.29,23.65,5.86,2441,151.0,14.38,50.65,23.22,13.52,5299,Chinese (Mandarin/Cantonese),3369,Vietnamese,2402,Spanish,2046,Other Indo-European,1163,Other Asian/Pacific Island,1077,29.0,1.95,9.24,47.96,11.85,,,,,54.6,56.3,45.9,49.6,97.7,24.0,,ACS5 2019-2023
98065,16061,410,5310,815,15.35,1.44,13919,,182132,,41.35,0.0,7.58,1217,17.3,17.34,64.07,12.77,3.42,508,Other Asian/Pacific Island,740,Other Indo-European,351,Spanish,222,Chinese (Mandarin/Cantonese),219,Russian/Polish/Slavic,211,13.12,0.92,3.92,75.75,6.29,,,,,86.9,87.4,71.0,64.7,102.2,76.1,renter_households,ACS5 2019-2023
98070,10424,961,4423,833,18.83,-0.03,10455,,115750,,42.02,23.77,3.26,340,9.2,8.66,51.87,5.72,1.32,133,Spanish,324,German/W.Germanic,66,Korean,52,Other Asian/Pacific Island,48,Other Indo-European,33,1.25,0.22,6.11,85.25,7.18,,,,,61.9,63.6,71.4,79.8,113.1,57.6,renter_households,ACS5 2019-2023
98072,24922,1215,9593,2539,26.47,1.49,21503,,174599,,54.71,19.77,6.34,1579,87.8,9.84,67.63,19.7,4.7,1098,Russian/Polish/Slavic,1078,Chinese (Mandarin/Cantonese),996,Spanish,976,Other Indo-European,919,Other Asian/Pacific Island,846,12.95,1.27,8.37,69.97,7.44,,,,,58.6,57.4,50.0,44.2,56.2,69.0,,ACS5 2019-2023
98074,30850,1447,10128,1593,15.73,3.12,22697,,234013,,36.79,17.26,6.47,1997,190.4,16.87,79.39,38.3,10.89,3142,Other Asian/Pacific Island,3381,Chinese (Mandarin/Cantonese),3278,Other Indo-European,2754,Spanish,746,Russian/Polish/Slavic,487,39.6,0.49,3.76,50.59,5.56,,,,,57.3,57.7,38.6,25.2,80.9,52.6,renter_households,ACS5 2019-2023
98075,25231,1511,8047,920,11.43,3.12,18563,,250001,,26.74,14.13,5.41,1365,141.6,17.06,76.69,35.1,8.3,1981,Chinese (Mandarin/Cantonese),2583,Other Indo-European,2377,Other Asian/Pacific Island,1521,Spanish,824,Korean,496,35.04,1.91,5.18,50.1,7.77,,,,,58.2,59.0,41.4,33.3,86.7,49.2,median_hh_income,ACS5 2019-2023
98077,14407,1276,4776,412,8.63,1.49,12430,,179625,,50.73,37.62,6.78,977,56.5,11.77,63.3,16.02,6.05,812,Spanish,601,Russian/Polish/Slavic,424,Other Indo-European,368,Chinese (Mandarin/Cantonese),346,Other Asian/Pacific Island,179,7.48,0.08,5.73,81.38,5.33,,,,,63.4,62.5,52.0,44.4,61.9,70.0,renter_households,ACS5 2019-2023
98087,40607,2830,15800,7427,47.01,0.96,36892,,106541,,53.71,26.81,5.78,2349,408.7,7.43,39.48,28.9,14.29,5466,Spanish,2462,Russian/Polish/Slavic,2070,Other Indo-European,1789,Other Asian/Pacific Island,1477,Korean,1034,19.58,7.57,12.15,48.06,12.65,,,,,66.9,64.9,66.3,63.8,25.8,84.7,,ACS5 2019-2023
98092,50510,1687,16994,4350,25.6,1.37,44084,,116614,,43.54,24.53,6.59,3329,77.6,8.48,35.45,20.04,11.8,5565,Spanish,4298,Russian/Polish/Slavic,1659,Other Indo-European,1452,Other Asian/Pacific Island,1151,Tagalog/Filipino,852,13.81,3.47,14.69,54.35,13.68,,,,,82.8,84.9,79.1,83.5,131.1,61.1,,ACS5 2019-2023
98101,16396,1102,11237,9470,84.28,1.44,14211,,128143,,40.56,16.63,1.24,204,386.4,0.3,71.19,37.56,5.65,915,Other Indo-European,1600,Chinese (Mandarin/Cantonese),1239,Spanish,668,Other Asian/Pacific Island,614,Russian/Polish/Slavic,344,34.66,6.12,5.39,48.33,5.5,,,,,4.5,8.1,37.6,48.6,77.0,47.6,,ACS5 2019-2023
98102,26583,1603,16858,12555,74.48,1.44,23040,,114395,,40.16,15.33,1.51,402,312.4,1.15,78.63,15.04,2.39,625,Spanish,1047,Chinese (Mandarin/Cantonese),841,Other Indo-European,606,Other Asian/Pacific Island,513,Russian/Polish/Slavic,349,12.26,2.0,7.52,68.06,10.17,,,,,12.8,9.3,35.3,46.5,72.9,50.1,,ACS5 2019-2023
98103,51988,2011,26105,14314,54.83,1.44,45059,,127372,,42.11,16.61,4.6,2393,521.4,4.95,77.3,14.98,3.76,1866,Spanish,1954,Other Indo-European,1580,Chinese (Mandarin/Cantonese),1209,Other Asian/Pacific Island,984,French/Haitian/Cajun,540,11.34,2.65,7.96,69.84,8.21,,,,,26.0,21.7,42.9,48.2,66.6,56.5,,ACS5 2019-2023
98104,15870,916,9035,8312,92.0,1.44,13755,,61866,,46.4,20.77,1.32,209,221.2,0.29,45.16,33.51,17.78,2785,Chinese (Mandarin/Cantonese),2293,Spanish,596,Other Asian/Pacific Island,519,Vietnamese,458,Other Indo-European,319,29.22,11.48,7.22,44.2,7.88,,,,,7.4,11.8,37.0,48.6,78.6,45.9,,ACS5 2019-2023
