zcta,city_primary,county_primary,county_secondary,classification,jurisdiction_for_regs,population_2024,population_cagr_10yr_pct,renter_households_est,renter_hh_in_small_portfolio_est,renter_hh_share_pct,owner_occupied_pct,median_hh_income,median_home_value_2025,median_rent_2br,rent_to_price_ratio_monthly_pct,rent_growth_36mo_pct,days_on_market_rental,vacancy_rate,rate_locked_owner_pct_est,adu_permits_2024_jurisdiction,adu_permits_5yr_jurisdiction,tech_relocation_proxy,lep_pct,foreign_born_pct,pct_bachelors_or_higher,lca_total_fy2024,lep_renter_tech_raw,total_visa_renter_est,visa_renter_density,tech_cohort_share_proxy,avg_commute_min,min_commute_min,reg_complexity_score,zip_school_quality_composite,multi_zone_zip_flag,pct_under_5,under_5_density_per_sqmi,children_per_100_slots,zoning_permissiveness,facility_net_3yr,avg_tuition_infant,tuition_to_median_income_ratio,top_language_1_name,top_language_2_name,moe_flags,anomaly_flags,pm_score,pm_rank,rental_score,rental_rank,daycare_score,daycare_rank,dual_use_score,dual_use_rank,_n_renter_sp,_n_accidental,_n_lep_renter_tech,_n_visa,_n_reg_complex,_n_tech_capped,_n_avg_commute,_n_pop_growth,_n_school,_n_rtp,_n_rent_growth,_n_dom_vac,_n_stability,_n_reg_friendly,_n_min_commute,_n_under5,_n_gap,_n_zoning,_n_income,_n_hi_emp,_n_fac_trend
98019,Duvall,King,,exurban,Unincorporated King,11712.0,0.91,1095.0,875.0,10.19,78.0,156003.0,890000.0,1970.0,0.264,13.0,30.0,4.2,66.0,0.0,0.0,0.08790468,4.28,16.44,53.47,0.0,0.0,94.0,0.08584474885844749,0.0,68.03333333333333,51.5,2.0,83.2,false,6.25,20.5,272.0,1.0,0.0,2000.0,0.24,Spanish,Other Indo-European,renter_households,LARGE_UNINC,20.02,91,60.05,33,49.01,45,54.25,32,0.1338,0.2996,0.0,0.1718,0.1538,0.0,0.6577,0.3516,0.6588,0.2433,0.6471,0.734,0.7158,0.8462,0.5721,0.0405,0.7577,0.5,0.5528,0.5624,0.5
98020,Edmonds,Snohomish,,suburban,Edmonds,19064.0,0.64,2239.0,1503.0,24.56,70.0,122243.0,1190000.0,2520.0,0.253,12.0,22.0,4.5,68.0,62.0,168.0,0.056536159999999995,1.82,9.44,59.89,0.0,0.0,460.0,0.20544886109870478,0.0,60.15,47.8,1.5,85.0,false,4.67,172.2,160.0,1.0,0.0,2400.0,0.23,Other Indo-European,Other Asian/Pacific Island,,,24.77,78,59.27,36,41.35,86,49.51,71,0.2309,0.314,0.0,0.4112,0.0769,0.0,0.7447,0.2527,0.6972,0.2107,0.5294,0.839,0.5584,0.9231,0.6079,0.3403,0.2643,0.5,0.3592,0.4836,0.5
98021,Bothell,Snohomish,,suburban,Bothell,35445.0,1.09,4896.0,2973.0,20.69,64.0,172559.0,1080000.0,2400.0,0.266,13.5,23.0,4.7,64.0,62.0,168.0,0.17116562,10.78,28.58,59.89,40.0,0.8921528,530.0,0.10825163398692811,0.008169934640522876,56.833333333333336,47.7,1.5,86.5,false,7.02,245.4,222.0,1.0,0.0,2400.0,0.21,Other Indo-European,Other Asian/Pacific Island,,,30.0,64,63.9,17,55.41,14,59.5,5,0.4582,0.3755,0.004,0.2166,0.0769,0.0172,0.7812,0.4176,0.7292,0.2493,0.7059,0.8035,0.6572,0.9231,0.6089,0.485,0.5374,0.5,0.6477,0.6283,0.5
98022,Enumclaw,King,Pierce,exurban,Unincorporated King,22135.0,1.23,2552.0,1968.0,19.26,72.0,116613.0,585000.0,1990.0,0.404,13.0,31.0,4.0,60.0,0.0,0.0,0.01782403,2.6,6.23,28.61,0.0,0.0,248.0,0.09717868338557993,0.0,127.66666666666667,105.9,2.0,71.8,true,6.79,2.1,272.0,1.0,0.0,1900.0,0.27,Spanish,Other Indo-European,renter_households,CROSS_COUNTY;LARGE_UNINC,15.49,97,55.46,58,39.86,92,47.02,80,0.3028,0.134,0.0,0.1945,0.1538,0.0,0.0,0.4689,0.4158,0.6588,0.6471,0.7362,0.5574,0.8462,0.0455,0.0042,0.7577,0.5,0.327,0.1862,0.5
98023,Federal Way,King,,suburban,Federal Way,49593.0,0.96,9638.0,5925.0,33.57,53.0,101960.0,590000.0,2080.0,0.419,15.8,28.0,5.7,54.0,42.0,114.0,0.08361320000000001,14.12,24.52,34.1,0.0,0.0,999.0,0.10365221000207511,0.0,83.7,60.3,3.0,66.7,true,6.44,311.6,216.0,1.0,0.0,2100.0,0.31,Spanish,Other Asian/Pacific Island,,,34.76,42,55.91,55,46.58,63,51.03,58,0.9146,0.1251,0.0,0.2074,0.3077,0.0,0.4849,0.37,0.307,0.7033,0.9765,0.6258,0.3715,0.6923,0.4869,0.6158,0.511,0.5,0.2429,0.3649,0.5
98024,Fall City,King,,rural,Unincorporated King,4632.0,-0.03,222.0,188.0,12.27,86.0,152726.0,1080000.0,1970.0,0.217,11.0,38.0,3.2,70.0,0.0,0.0,0.053952379999999994,2.01,10.13,53.26,0.0,0.0,55.0,0.24774774774774774,0.0,69.75,53.1,2.0,89.0,true,6.43,13.5,327.0,1.0,0.0,1900.0,0.2,Spanish,German/W.Germanic,renter_households,LARGE_UNINC;LOW_POP;RURAL_FRINGE,19.71,92,57.71,43,54.65,16,56.16,17,0.0275,0.324,0.0,0.4958,0.1538,0.0,0.6388,0.0073,0.7825,0.1039,0.4118,0.6667,0.767,0.8462,0.5566,0.0267,1.0,0.5,0.534,0.5453,0.5
98025,Hobart,King,,rural,Unincorporated King,51.0,0.0,3.0,3.0,0.0,86.0,0.0,720000.0,1970.0,0.326,10.5,42.0,3.6,64.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,75.71666666666665,56.3,2.0,86.2,false,0.0,0.0,100.0,1.0,0.0,,,Spanish,French/Haitian/Cajun,population_2024,LARGE_UNINC;LOW_POP;PO_BOX_ZIP,10.29,104,57.59,46,22.41,104,35.92,104,0.0,0.1818,0.0,0.0,0.1538,0.0,0.573,0.0183,0.7228,0.4273,0.3529,0.5906,0.5,0.8462,0.5257,0.0,0.0,0.5,0.0,0.2628,0.5
98026,Edmonds,Snohomish,,suburban,Edmonds,38985.0,0.64,6248.0,3638.0,27.72,58.0,124462.0,890000.0,2520.0,0.339,13.0,25.0,5.0,62.0,62.0,168.0,0.07912998,7.91,16.74,47.27,40.0,0.8770608000000001,793.0,0.12692061459667092,0.006402048655569782,61.76666666666667,36.3,1.5,84.9,false,4.27,177.6,191.0,1.0,0.0,2350.0,0.24,Spanish,Chinese (Mandarin/Cantonese),,,29.09,67,64.63,14,45.32,71,54.12,34,0.561,0.2471,0.0039,0.254,0.0769,0.0135,0.7268,0.2527,0.6951,0.4659,0.6471,0.7418,0.4739,0.9231,0.7193,0.351,0.4009,0.5,0.3719,0.5456,0.5
98027,Issaquah,King,,suburban,Issaquah,28335.0,1.86,4355.0,2733.0,30.44,63.0,150000.0,1120000.0,2540.0,0.271,12.5,22.0,4.5,70.0,54.0,146.0,0.11864976,5.59,18.12,65.48,990.0,16.8458004,953.0,0.21882893226176808,0.22732491389207807,64.43333333333334,49.7,1.5,94.0,true,4.38,21.7,185.0,1.0,0.0,2650.0,0.23,Chinese (Mandarin/Cantonese),Spanish,,,38.85,35,66.59,11,41.97,85,52.87,42,0.4211,0.4082,0.0757,0.4379,0.0769,0.4795,0.6974,0.6996,0.8891,0.2641,0.5882,0.839,0.5849,0.9231,0.5895,0.0429,0.3744,0.5,0.5184,0.554,0.5
98028,Kenmore,King,,suburban,Kenmore,23594.0,1.09,3088.0,2126.0,30.33,68.0,137926.0,920000.0,2400.0,0.314,12.5,23.0,4.5,68.0,32.0,88.0,0.12727305,8.69,22.27,57.15,250.0,6.5891924999999985,669.0,0.21664507772020725,0.08095854922279792,52.13333333333333,46.7,1.0,81.0,false,6.37,244.4,180.0,1.0,0.0,2450.0,0.23,Spanish,Chinese (Mandarin/Cantonese),,,31.45,59,62.26,22,47.04,59,54.12,35,0.3272,0.3808,0.0296,0.4336,0.0,0.1708,0.8331,0.4176,0.6119,0.3917,0.5882,0.8223,0.5882,1.0,0.6186,0.483,0.3524,0.5,0.4491,0.5339,0.5
